skill name,intent name,sample type,slot name,slot type
skills/idiosyncrati/KA1901,AddUserIntent,-1,gender,gender
skills/idiosyncrati/KA1901,AddUserIntent,-1,name,AMAZON.US_FIRST_NAME
skills/idiosyncrati/KA1901,updateUserIntent,-1,age,AMAZON.NUMBER
skills/idiosyncrati/KA1901,updateUserIntent,-1,gender,gender
skills/idiosyncrati/KA1901,BMRcalcIntent,-1,gender,gender
skills/idiosyncrati/KA1901,BMRcalcIntent,-1,name,AMAZON.US_FIRST_NAME
skills/idiosyncrati/KA1901,BMIcalcIntent,-1,name,AMAZON.US_FIRST_NAME
skills/idiosyncrati/KA1901,RegUserBMIintent,-1,name,AMAZON.US_FIRST_NAME
skills/idiosyncrati/KA1901,RegisterFoodIntent,-1,User,AMAZON.US_FIRST_NAME
skills/inobtsp/crowdsoucing_project,SignInIntent,1,workername,AMAZON.FirstName
skills/inobtsp/crowdsoucing_platform,SignInIntent,1,workername,AMAZON.FirstName
skills/juanmf/InnovationChallengeDealsAssistantAlexaSkill,NameIntent,1,name,AMAZON.US_FIRST_NAME
skills/lucky-singh/mltrivia/ML_Trivia,GetNameIntent,1,name,AMAZON.US_FIRST_NAME
skills/marxtrader/MarxTrader,NameCapture,1,USFirstName,AMAZON.US_FIRST_NAME
skills/minhtran2801/KS1909-Smart-Nutrition-System,AddUserIntent,-1,age,AMAZON.NUMBER
skills/minhtran2801/KS1909-Smart-Nutrition-System,AddUserIntent,-1,gender,gender
skills/minhtran2801/KS1909-Smart-Nutrition-System,AddUserIntent,-1,name,AMAZON.US_FIRST_NAME
skills/minhtran2801/KS1909-Smart-Nutrition-System,updateUserIntent,-1,age,AMAZON.NUMBER
skills/minhtran2801/KS1909-Smart-Nutrition-System,updateUserIntent,-1,gender,gender
skills/minhtran2801/KS1909-Smart-Nutrition-System,BMRcalcIntent,-1,gender,gender
skills/minhtran2801/KS1909-Smart-Nutrition-System,BMRcalcIntent,-1,name,AMAZON.US_FIRST_NAME
skills/minhtran2801/KS1909-Smart-Nutrition-System,BMIcalcIntent,-1,name,AMAZON.US_FIRST_NAME
skills/minhtran2801/KS1909-Smart-Nutrition-System,RegUserBMIintent,-1,name,AMAZON.US_FIRST_NAME
skills/minhtran2801/KS1909-Smart-Nutrition-System,RegisterFoodIntent,-1,User,AMAZON.US_FIRST_NAME
skills/nicktodd/BasicAlexaSkill,getusersname,1,name,AMAZON.GB_FIRST_NAME
skills/radroof22/hackmit-2021/alexa/amzn1.ask.skill.436cb596-0d9d-490c-a0a7-5e48a8a2ca15,askFirstLastName,1,firstName,FIRSTNAME
